bcEndDate,bcStartDate,caBroadcastDate,comp,exDate,faceVal,ind,isin,ndEndDate,ndStartDate,recDate,series,subject,symbol
-,-,,Orbit Exports Limited,15-Jul-2026,10,-,INE231G01010,-,-,15-Jul-2026,EQ,Buy Back,ORBTEXP
-,-,,Heritage Foods Limited,15-Jul-2026,5,-,INE978A01019,-,-,15-Jul-2026,EQ,Dividend - Rs 2.50 Per Share,HERITGFOOD
-,-,,Kfin Technologies Limited,15-Jul-2026,10,-,INE138Y01010,-,-,15-Jul-2026,EQ,Dividend - Rs 12 Per Share,KFINTECH
-,-,,Bharat Bijlee Limited,15-Jul-2026,5,-,INE464A01028,-,-,15-Jul-2026,EQ,Dividend - Rs 35 Per Share,BBL
-,-,,Tata Consultancy Services Limited,15-Jul-2026,1,-,INE467B01029,-,-,15-Jul-2026,EQ,Interim Dividend - Rs 12 Per Share,TCS
-,-,,Coromandel International Limited,16-Jul-2026,1,-,INE169A01023,-,-,16-Jul-2026,EQ,Dividend - Rs 2 Per Share,COROMANDEL
-,-,,Craftsman Automation Limited,16-Jul-2026,5,-,INE00LO01017,-,-,16-Jul-2026,EQ,Dividend - Rs. 11.25 Per Share,CRAFTSMAN
-,-,,Aspinwall and Company Limited,16-Jul-2026,10,-,INE991I01015,-,-,16-Jul-2026,EQ,Dividend - Rs 6.50 Per Share,ASPINWALL
-,-,,Canara Robeco Asset Management Company Limited,16-Jul-2026,10,-,INE218I01013,-,-,16-Jul-2026,EQ,Dividend - Rs 2.50 Per Share,CRAMC
-,-,,GRP Limited,16-Jul-2026,10,-,INE137I01015,-,-,16-Jul-2026,EQ,Dividend - Rs 3.50 Per Share,GRPLTD
-,-,,Windlas Biotech Limited,16-Jul-2026,5,-,INE0H5O01029,-,-,16-Jul-2026,EQ,Dividend - Rs 6.30 Per Share,WINDLAS
-,-,,Weizmann Limited,16-Jul-2026,10,-,INE080A01014,-,-,16-Jul-2026,EQ,Dividend - Rs 0.50 Per Share,WEIZMANIND
-,-,,Ador Welding Limited,16-Jul-2026,10,-,INE045A01017,-,-,16-Jul-2026,EQ,Dividend - Rs 23 Per Share,ADOR
-,-,,Shanthi Gears Limited,17-Jul-2026,1,-,INE631A01022,-,-,17-Jul-2026,EQ,Dividend - Rs 2 Per Share,SHANTIGEAR
-,-,,Soma Textiles & Industries Limited,17-Jul-2026,10,-,INE314C01013,-,-,17-Jul-2026,EQ,Dividend - Re 0.50  Per Share,SOMATEX
-,-,,Sonata Software Limited,17-Jul-2026,1,-,INE269A01021,-,-,17-Jul-2026,EQ,Dividend - Rs 4.15 Per Share,SONATSOFTW
-,-,,Sumitomo Chemical India Limited,17-Jul-2026,10,-,INE258G01013,-,-,17-Jul-2026,EQ,Dividend - Rs 1.30 Per Share,SUMICHEM
-,-,,Sundaram Brake Linings Limited,17-Jul-2026,10,-,INE073D01013,-,-,17-Jul-2026,EQ,Dividend - Re 0.65 Per Share,SUNDRMBRAK
-,-,,Suryoday Small Finance Bank Limited,17-Jul-2026,10,-,INE428Q01011,-,-,17-Jul-2026,EQ,Dividend - Rs 1.50 Per Share,SURYODAY
-,-,,Symphony Limited,17-Jul-2026,2,-,INE225D01019,-,-,17-Jul-2026,EQ,Dividend - Rs 5 Per Share,SYMPHONY
-,-,,SHREE CEMENT LIMITED,17-Jul-2026,10,-,INE070A01015,-,-,17-Jul-2026,EQ,Dividend - Rs 70 Per Share,SHREECEM
-,-,,TTK Healthcare Limited,17-Jul-2026,10,-,INE910C01018,-,-,17-Jul-2026,EQ,Dividend - Rs 10 Per Share,TTKHLTCARE
-,-,,Uniphos Enterprises Limited,17-Jul-2026,2,-,INE037A01022,-,-,17-Jul-2026,EQ,Dividend - Rs 3.50 Per Share,UNIENTER
-,-,,UPL Limited,17-Jul-2026,2,-,INE628A01036,-,-,17-Jul-2026,EQ,Dividend - Rs 6 Per Share,UPL
-,-,,Veedol Corporation Limited,17-Jul-2026,2,-,INE484C01030,-,-,17-Jul-2026,EQ,Dividend - Rs 22 Per Share,VEEDOL
-,-,,V-Mart Retail Limited,17-Jul-2026,10,-,INE665J01013,-,-,17-Jul-2026,EQ,Dividend - Re 1 Per Share,VMART
-,-,,VA Tech Wabag Limited,17-Jul-2026,2,-,INE956G01020,-,-,17-Jul-2026,EQ,Dividend - Rs 5 Per Sh,WABAG
-,-,,Wendt (India) Limited,17-Jul-2026,10,-,INE274C01019,-,-,17-Jul-2026,EQ,Dividend - Rs 10 Per Share,WENDT
-,-,,Zensar Technologies Limited,17-Jul-2026,2,-,INE520A01019,-,-,17-Jul-2026,EQ,Dividend - Rs 12.60 Per Share,ZENSARTECH
-,-,,Zydus Wellness Limited,17-Jul-2026,2,-,INE768C01010,-,-,17-Jul-2026,EQ,Dividend - Re 1.20 Per Share,ZYDUSWELL
-,-,,Transport Corporation of India Limited,17-Jul-2026,2,-,INE688A01022,-,-,17-Jul-2026,EQ,Dividend - Re 1 Per Share,TCI
-,-,,Newgen Software Technologies Limited,17-Jul-2026,10,-,INE619B01017,-,-,17-Jul-2026,EQ,Dividend - Rs 6 Per Share,NEWGEN
-,-,,Narayana Hrudayalaya Ltd.,17-Jul-2026,10,-,INE410P01011,-,-,17-Jul-2026,EQ,Dividend - Rs 4.50 Per Share,NH
-,-,,GOVERNMENT OF INDIA,17-Jul-2026,100,-,IN0020080050,-,-,18-Jul-2026,GS,Interest Payment,683GS2039
-,-,,Happiest Minds Technologies Limited,17-Jul-2026,2,-,INE419U01012,-,-,17-Jul-2026,EQ,Dividend - Rs 3.65 Per Share,HAPPSTMNDS
-,-,,HCL Technologies Limited,17-Jul-2026,2,-,INE860A01027,-,-,17-Jul-2026,EQ,Interim Dividend - Rs 12 Per Share,HCLTECH
-,-,,Safari Industries (India) Limited,17-Jul-2026,2,-,INE429E01023,-,-,17-Jul-2026,EQ,Dividend - Rs 2 Per Share,SAFARI
-,-,,Honeywell Automation India Limited,17-Jul-2026,10,-,INE671A01010,-,-,17-Jul-2026,EQ,Dividend - Rs 110 Per Share,HONAUT
-,-,,Apollo Pipes Limited,17-Jul-2026,10,-,INE126J01016,-,-,17-Jul-2026,EQ,Dividend - Re 0.70 Per Share,APOLLOPIPE
-,-,,Atul Limited,17-Jul-2026,10,-,INE100A01010,-,-,17-Jul-2026,EQ,Dividend - Rs 30 Per Share,ATUL
-,-,,Indian Hume Pipe Company Limited,17-Jul-2026,2,-,INE323C01022,-,-,17-Jul-2026,EQ,Dividend - Rs 2 Per Share/Special Dividend - Rs 3 Per Share,INDIANHUME
-,-,,Pfizer Limited,17-Jul-2026,10,-,INE182A01018,-,-,17-Jul-2026,EQ,Dividend - Rs 75 Per Share,PFIZER
-,-,,Avadh Sugar & Energy Limited,17-Jul-2026,10,-,INE349W01017,-,-,17-Jul-2026,EQ,Dividend - Rs 10 Per Share,AVADHSUGAR
-,-,,Bajaj Electricals Limited,17-Jul-2026,2,-,INE193E01025,-,-,17-Jul-2026,EQ,Dividend - Rs 3 Per Share,BAJAJELEC
-,-,,Balkrishna Industries Limited,17-Jul-2026,2,-,INE787D01018,-,-,17-Jul-2026,EQ,Dividend - Rs 4 Per Share,BALKRISIND
-,-,,Bharat Seats Limited,17-Jul-2026,2,-,INE415D01024,-,-,17-Jul-2026,EQ,Dividend - Rs 1.50 Per Share,BHARATSE
-,-,,Bharat Heavy Electricals Limited,17-Jul-2026,2,-,INE257A01018,-,-,17-Jul-2026,EQ,Dividend - Rs 1.40 Per Share,BHEL
-,-,,Prudent Corporate Advisory Services Limited,17-Jul-2026,5,-,INE00F201020,-,-,17-Jul-2026,EQ,Dividend - Rs 3.50 Per Share,PRUDENT
-,-,,Punjab Chemicals & Crop Protection Limited,17-Jul-2026,10,-,INE277B01014,-,-,17-Jul-2026,EQ,Dividend - Rs 3 Per Share,PUNJABCHEM
-,-,,Rajratan Global Wire Limited,17-Jul-2026,2,-,INE451D01011,-,-,17-Jul-2026,EQ,Dividend - Rs 2 Per Share,RAJRATAN
-,-,,Bikaji Foods International Limited,17-Jul-2026,1,-,INE00E101023,-,-,17-Jul-2026,EQ,Dividend - Rs 1.25 Per Share,BIKAJI
-,-,,Blue Star Limited,17-Jul-2026,2,-,INE472A01039,-,-,17-Jul-2026,EQ,Dividend - Rs 8.50 Per Share,BLUESTARCO
-,-,,JK Lakshmi Cement Limited,17-Jul-2026,5,-,INE786A01032,-,-,17-Jul-2026,EQ,Dividend - Rs 6.50 Per Share,JKLAKSHMI
-,-,,Jubilant Foodworks Limited,17-Jul-2026,2,-,INE797F01012,-,-,17-Jul-2026,EQ,Dividend - Rs 1.20 Per Share,JUBLFOOD
-,-,,Central Depository Services (India) Limited,17-Jul-2026,10,-,INE736A01011,-,-,17-Jul-2026,EQ,Dividend - Rs 12.75 Per Share,CDSL
-,-,,Kirloskar Ferrous Industries Limited,17-Jul-2026,5,-,INE884B01025,-,-,17-Jul-2026,EQ,Dividend - Rs 3 Per Share,KIRLFER
-,-,,Kotak Mahindra Bank Limited,17-Jul-2026,1,-,INE237A01010,-,-,17-Jul-2026,EQ,Dividend - Rs 0.65 Per Share,KOTAKBANK
-,-,,LMW Limited,17-Jul-2026,10,-,INE269B01029,-,-,17-Jul-2026,EQ,Dividend - Rs 35 Per Share,LMW
-,-,,Cummins India Limited,17-Jul-2026,2,-,INE298A01020,-,-,17-Jul-2026,EQ,Dividend - Rs 46 Per Share,CUMMINSIND
-,-,,Dabur India Limited,17-Jul-2026,1,-,INE016A01026,-,-,17-Jul-2026,EQ,Dividend - Rs 5.50 Per Share,DABUR
-,-,,Dhampur Bio Organics Limited,17-Jul-2026,10,-,INE0I3401014,-,-,17-Jul-2026,EQ,Dividend - Rs 1.50 Per Share,DBOL
-,-,,Dhanuka Agritech Limited,17-Jul-2026,2,-,INE435G01025,-,-,17-Jul-2026,EQ,Dividend - Rs 2 Per Share,DHANUKA
-,-,,Lupin Limited,17-Jul-2026,2,-,INE326A01029,-,-,17-Jul-2026,EQ,Dividend - Rs 18 Per Share,LUPIN
-,-,,Magadh Sugar & Energy Limited,17-Jul-2026,10,-,INE347W01011,-,-,17-Jul-2026,EQ,Dividend - Rs 12.50 Per Share,MAGADSUGAR
-,-,,Mangalam Global Enterprise Limited,17-Jul-2026,1,-,INE0APB01016,-,-,17-Jul-2026,EQ,Dividend - Rs 0.01 Per Share,MGEL
-,-,,Elgi Equipments Limited,17-Jul-2026,1,-,INE285A01027,-,-,17-Jul-2026,EQ,Dividend - Rs 2.70 Per Share,ELGIEQUIP
-,-,,MRF Limited,17-Jul-2026,10,-,INE883A01011,-,-,17-Jul-2026,EQ,Dividend - Rs 229 Per Share,MRF
-,-,,20 Microns Limited,17-Jul-2026,5,-,INE144J01019,-,-,17-Jul-2026,EQ,Dividend - Rs 1.25 Per Share,20MICRONS
-,-,,3M India Limited,17-Jul-2026,10,-,INE470A01017,-,-,17-Jul-2026,EQ,Dividend - Rs 160 Per Share/Special Dividend - Rs 346 Per Share,3MINDIA
-,-,,Gretex Corporate Services Limited,17-Jul-2026,10,-,INE199P01028,-,-,17-Jul-2026,EQ,Dividend - Re 0.70 Per Share,GCSL
-,-,,Global Education Limited,17-Jul-2026,2,-,INE291W01011,-,-,17-Jul-2026,EQ,Dividend - Rs 0.50 Per Share,GLOBAL
-,-,,SPR Auto Technologies Limited,20-Jul-2026,10,-,INE526E01018,-,-,20-Jul-2026,EQ,Dividend - Rs 5 Per Share,SHRIPISTON
-,-,,Graphite India Limited,20-Jul-2026,2,-,INE371A01025,-,-,20-Jul-2026,EQ,Dividend - Rs 7 Per Share,GRAPHITE
-,-,,Government of India,20-Jul-2026,100,-,IN0020250117,-,-,20-Jul-2026,GS,Interest Payment,743GS2076
-,-,,Happy Forgings Limited,20-Jul-2026,2,-,INE330T01021,-,-,20-Jul-2026,EQ,Dividend - Rs 4 Per Share,HAPPYFORGE
-,-,,Pokarna Limited,20-Jul-2026,2,-,INE637C01017,-,-,20-Jul-2026,EQ,Dividend - Re 0.60 Per Share,POKARNA
-,-,,Nesco Limited,20-Jul-2026,2,-,INE317F01027,-,-,20-Jul-2026,EQ,Dividend - Rs 7 Per Share,NESCO
-,-,,K.P.R. Mill Limited,20-Jul-2026,1,-,INE930H01015,-,-,20-Jul-2026,EQ,Dividend - Rs 2.50 Per Share,KPRMILL
-,-,,Fairchem Organics Limited,20-Jul-2026,10,-,INE0DNW01011,-,-,20-Jul-2026,EQ,Dividend - Re 1 Per Share,FAIRCHEMOR
-,-,,Ndr Auto Components Limited,20-Jul-2026,10,-,INE07OG01012,-,-,20-Jul-2026,EQ,Dividend - Rs 4 Per Share,NDRAUTO
